I	0	1000	42	telomeres
I	5000	6000	1	telomeres
I	12000	13000	1	telomeres
I	15000	16000	14	telomeres
I	17000	18000	1	telomeres
I	19000	20000	1	telomeres
I	21000	22000	1	telomeres
I	23000	24000	1	telomeres
I	26000	27000	1	telomeres
I	28000	29000	8	telomeres
I	35000	36000	1	telomeres
I	40000	41000	2	telomeres
I	41000	42000	1	telomeres
I	42000	43000	1	telomeres
I	44000	45000	1	telomeres
I	45000	46000	1	telomeres
I	46000	47000	1	telomeres
I	48000	49000	1	telomeres
I	49000	50000	1	telomeres
I	50000	51000	1	telomeres
I	52000	53000	2	telomeres
I	53000	54000	1	telomeres
I	55000	56000	1	telomeres
I	58000	59000	1	telomeres
I	60000	61000	1	telomeres
I	74000	75000	1	telomeres
I	77000	78000	1	telomeres
I	80000	81000	2	telomeres
I	83000	84000	2	telomeres
I	85000	86000	1	telomeres
I	90000	91000	3	telomeres
I	94000	95000	1	telomeres
I	95000	96000	1	telomeres
I	98000	99000	1	telomeres
I	101000	102000	2	telomeres
I	105000	106000	1	telomeres
I	110000	111000	1	telomeres
I	111000	112000	1	telomeres
I	112000	113000	2	telomeres
I	113000	114000	2	telomeres
I	114000	115000	1	telomeres
I	115000	116000	1	telomeres
I	122000	123000	2	telomeres
I	123000	124000	1	telomeres
I	124000	125000	1	telomeres
I	125000	126000	1	telomeres
I	133000	134000	1	telomeres
I	136000	137000	1	telomeres
I	137000	138000	1	telomeres
I	140000	141000	1	telomeres
I	142000	143000	1	telomeres
I	151000	152000	2	telomeres
I	169000	170000	1	telomeres
I	170000	171000	2	telomeres
I	176000	177000	2	telomeres
I	180000	181000	1	telomeres
I	185000	186000	1	telomeres
I	206000	207000	2	telomeres
I	207000	208000	5	telomeres
I	209000	210000	1	telomeres
I	210000	211000	1	telomeres
I	211000	212000	1	telomeres
I	213000	214000	2	telomeres
I	222000	223000	1	telomeres
I	223000	224000	8	telomeres
I	224000	225000	7	telomeres
I	225000	226000	1	telomeres
I	228000	229000	2	telomeres
I	230000	231000	1	telomeres
I	231000	232000	4	telomeres
I	232000	233000	1	telomeres
I	233000	234000	4	telomeres
I	234000	235000	1	telomeres
I	236000	237000	1	telomeres
I	243000	244000	1	telomeres
I	246000	247000	1	telomeres
I	248000	249000	1	telomeres
I	254000	255000	1	telomeres
I	256000	257000	4	telomeres
I	258000	259000	1	telomeres
I	262000	263000	1	telomeres
I	271000	272000	1	telomeres
I	274000	275000	2	telomeres
I	279000	280000	1	telomeres
I	280000	281000	2	telomeres
I	283000	284000	1	telomeres
I	290000	291000	1	telomeres
I	292000	293000	1	telomeres
I	294000	295000	1	telomeres
I	296000	297000	1	telomeres
I	299000	300000	1	telomeres
I	301000	302000	1	telomeres
I	302000	303000	3	telomeres
I	303000	304000	2	telomeres
I	309000	310000	1	telomeres
I	310000	311000	1	telomeres
I	313000	314000	1	telomeres
I	314000	315000	1	telomeres
I	320000	321000	2	telomeres
I	322000	323000	3	telomeres
I	323000	324000	2	telomeres
I	324000	325000	2	telomeres
I	329000	330000	1	telomeres
I	335000	336000	1	telomeres
I	339000	340000	1	telomeres
I	350000	351000	2	telomeres
I	351000	352000	1	telomeres
I	355000	356000	2	telomeres
I	359000	360000	1	telomeres
I	360000	361000	1	telomeres
I	361000	362000	5	telomeres
I	362000	363000	1	telomeres
I	363000	364000	1	telomeres
I	367000	368000	1	telomeres
I	370000	371000	2	telomeres
I	371000	372000	1	telomeres
I	372000	373000	1	telomeres
I	373000	374000	2	telomeres
I	375000	376000	1	telomeres
I	377000	378000	2	telomeres
I	379000	380000	3	telomeres
I	380000	381000	1	telomeres
I	382000	383000	1	telomeres
I	391000	392000	1	telomeres
I	392000	393000	1	telomeres
I	396000	397000	1	telomeres
I	397000	398000	1	telomeres
I	398000	399000	1	telomeres
I	401000	402000	2	telomeres
I	402000	403000	1	telomeres
I	403000	404000	2	telomeres
I	404000	405000	3	telomeres
I	405000	406000	1	telomeres
I	406000	407000	3	telomeres
I	409000	410000	1	telomeres
I	424000	425000	2	telomeres
I	427000	428000	1	telomeres
I	431000	432000	2	telomeres
I	433000	434000	1	telomeres
I	444000	445000	2	telomeres
I	445000	446000	10	telomeres
