I	0	10000	25	4003	10000	0.4003000
I	10000	20000	23	3273	10000	0.3273000
I	20000	30000	11	1905	10000	0.1905000
I	30000	40000	16	2699	10000	0.2699000
I	40000	50000	14	1779	10000	0.1779000
I	50000	60000	10	2212	10000	0.2212000
I	60000	70000	24	2949	10000	0.2949000
I	70000	80000	17	1631	10000	0.1631000
I	80000	90000	14	1982	10000	0.1982000
I	90000	100000	8	1075	10000	0.1075000
I	100000	110000	23	1807	10000	0.1807000
I	110000	120000	21	1958	10000	0.1958000
I	120000	130000	12	1368	10000	0.1368000
I	130000	140000	12	1515	10000	0.1515000
I	140000	150000	9	964	10000	0.0964000
I	150000	160000	14	1900	10000	0.1900000
I	160000	170000	10	834	10000	0.0834000
I	170000	180000	8	906	10000	0.0906000
I	180000	190000	15	4517	10000	0.4517000
I	190000	200000	19	2935	10000	0.2935000
I	200000	210000	18	3106	10000	0.3106000
I	210000	220000	13	1248	10000	0.1248000
I	220000	230000	10	2520	10000	0.2520000
I	230000	240000	7	1088	10000	0.1088000
I	240000	250000	27	3144	10000	0.3144000
I	250000	260000	13	1378	10000	0.1378000
I	260000	270000	17	2108	10000	0.2108000
I	270000	280000	22	2166	10000	0.2166000
I	280000	290000	16	3254	10000	0.3254000
I	290000	300000	17	1606	10000	0.1606000
I	300000	310000	16	1594	10000	0.1594000
I	310000	320000	12	2102	10000	0.2102000
I	320000	330000	6	1306	10000	0.1306000
I	330000	340000	20	2763	10000	0.2763000
I	340000	350000	15	1375	10000	0.1375000
I	350000	360000	20	2781	10000	0.2781000
I	360000	370000	23	2603	10000	0.2603000
I	370000	380000	18	1066	10000	0.1066000
I	380000	390000	12	1227	10000	0.1227000
I	390000	400000	23	2345	10000	0.2345000
I	400000	410000	16	4200	10000	0.4200000
I	410000	420000	14	3814	10000	0.3814000
I	420000	430000	17	1983	10000	0.1983000
I	430000	440000	16	3004	10000	0.3004000
I	440000	450000	21	2113	10000	0.2113000
I	450000	460000	16	2306	10000	0.2306000
I	460000	470000	6	558	10000	0.0558000
I	470000	480000	31	4389	10000	0.4389000
I	480000	490000	17	1501	10000	0.1501000
I	490000	500000	27	3860	10000	0.3860000
I	500000	510000	22	3369	10000	0.3369000
I	510000	520000	15	3154	10000	0.3154000
I	520000	530000	30	3247	10000	0.3247000
I	530000	540000	9	1527	10000	0.1527000
I	540000	550000	18	1825	10000	0.1825000
I	550000	560000	22	3377	10000	0.3377000
I	560000	570000	28	3880	10000	0.3880000
I	570000	580000	25	2568	10000	0.2568000
I	580000	590000	20	5116	10000	0.5116000
I	590000	600000	22	4889	10000	0.4889000
I	600000	610000	33	5322	10000	0.5322000
I	610000	620000	25	3852	10000	0.3852000
